PersonID,Number,HeightInches,WeightPounds,Position,AcademicYear,HighSchool
136,55,69,221,LB,R-Fr.,Brophy College Prep
137,56,73,241,LS,R-Sr.,Notre Dame Prep
138,58,77,297,OL,R-Sr.,Centennial HS
139,59,76,227,DE,R-Fr.,Tempe HS
140,63,75,318,OL,Jr.,Peoria Centennial HS
141,64,75,292,OL,R-Jr.,Boulder Creek HS
142,67,77,307,OL,Fr.,Amphitheater HS
143,73,76,286,OL,R-Fr.,Peoria HS
144,79,75,292,OL,R-Fr.,Queen Creek High School
145,82,73,246,STUD,R-Fr.,Desert Edge HS
146,86,69,172,WR,R-Fr.,Orange Lutheran HS(Calif.)
147,90,73,278,DT,R-Sr.,Mountain View HS
148,91,77,301,DT,R-Jr.,Campo Verde HS
149,6,74,209,S,Sr.,Mountain View HS
150,2,70,181,CB,R-So.,Linfield Christian HS
151,5,73,210,WR,So.,Charter Oak HS
152,7,70,175,WR,R-So.,Narbonne HS
153,7,73,236,LB,So.,Mission Viejo HS
154,9,71,189,WR,R-Sr.,Granite Bay HS
155,12,75,263,DE,So.,Long Beach Poly HS
156,13,71,194,S,Jr.,Centennial HS
157,14,74,215,QB,Jr.,Junipero Serra HS
158,14,74,248,STUD,So.,Notre Dame HS
159,15,73,178,CB,Fr.,Edison HS
160,17,74,179,QB,R-Fr.,Cathedral HS
161,17,71,189,CB,Sr.,Oceanside HS
162,18,71,193,WR,R-Jr.,Rancho Verde HS
163,19,71,195,S,So.,Helix HS
164,20,73,193,CB,R-Fr.,Oceanside HS
165,21,73,191,S,R-So.,Calabasas HS
166,21,66,184,RB,R-So.,Centennial HS
167,24,73,185,S,R-Fr.,Cathedral HS
168,25,70,212,RB,R-Jr.,Liberty HS
169,26,73,225,LB,So.,Narbonne HS
170,28,71,195,RB,Fr.,Bishop Alemany HS
171,33,74,202,RB,So.,Colony HS
172,34,73,226,LB,R-So.,La Habra HS
173,36,73,207,S,R-Jr.,Stellar Prep
174,37,74,196,S,R-Fr.,Mater Dei HS
175,42,75,229,P,Gr.,Crespi HS
176,43,74,184,K,So.,Norco HS
177,44,73,291,DT,So.,Liberty HS
178,45,73,235,LB,Fr.,Los Alamitos HS
179,51,73,243,STUD,Jr.,Rancho Verde HS
180,52,76,335,DT,R-Jr.,Luther Burbank HS
181,53,73,222,LB,R-So.,Buchanan HS
182,54,76,306,OT,R-So.,Great Oak HS
183,58,74,270,DT,Fr.,Calabasas HS
184,60,75,337,DL,Fr.,Calabasas HS
